Year,Month,Day,Hour,Minute,Total Wind Output (kW)
2012,1,20,19,0,78751.3
2012,1,20,20,0,89869.5
2012,1,20,21,0,105661.7
2012,1,20,22,0,144090.1
2012,1,20,23,0,146847
2012,1,21,0,0,161278.5
2012,1,21,1,0,161278.5
2012,1,21,2,0,161278.5
2012,1,21,3,0,161278.5
2012,1,21,4,0,161278.5
2012,1,21,5,0,153034.7
2012,1,21,6,0,146439.3
2012,1,21,7,0,161278.5
2012,1,21,8,0,161278.5
2012,1,21,9,0,161278.5
2012,1,21,10,0,161278.5
2012,1,21,11,0,161278.5
2012,1,21,12,0,42239.5
2012,1,21,13,0,42239.5
2012,1,21,14,0,42239.5
2012,1,21,15,0,42239.5
2012,1,21,16,0,42239.5
2012,1,21,17,0,161278.5
2012,1,21,18,0,80025.8
2012,1,21,19,0,31603.98
2012,1,21,20,0,127551.95
2012,1,21,21,0,93203.7
2012,1,21,22,0,58151.8
2012,1,21,23,0,140625.2
2012,1,22,0,0,102131.6
2012,1,22,1,0,107318.9
2012,1,22,2,0,21369.35
2012,1,22,3,0,6214.78
2012,1,22,4,0,7628.68
2012,1,22,5,0,35013.9
2012,1,22,6,0,72558.9
2012,1,22,7,0,66872.4
2012,1,22,8,0,31276.5
2012,1,22,9,0,10272.068
2012,1,22,10,0,13582.24
2012,1,22,11,0,6881.18
2012,1,22,12,0,9092.21
2012,1,22,13,0,29808.6
2012,1,22,14,0,44030.4
2012,1,22,15,0,72621.8
2012,1,22,16,0,67597.3
2012,1,22,17,0,73039.83
2012,1,22,18,0,28685.06
2012,1,22,19,0,45747.46
2012,1,22,20,0,43415.87
2012,1,22,21,0,35636.8
2012,1,22,22,0,66714.3
2012,1,22,23,0,88226.5
2012,1,23,0,0,86973.37
2012,1,23,1,0,70665.6
2012,1,23,2,0,70959.1
2012,1,23,3,0,44046.6
2012,1,23,4,0,54723.5
2012,1,23,5,0,60380.1
2012,1,23,6,0,68155.4
2012,1,23,7,0,90160
2012,1,23,8,0,161278.5
2012,1,23,9,0,161278.5
2012,1,23,10,0,161278.5
2012,1,23,11,0,161278.5
2012,1,23,12,0,161278.5
2012,1,23,13,0,161278.5
2012,1,23,14,0,161278.5
2012,1,23,15,0,161278.5
2012,1,23,16,0,161278.5
