325158,city??,CA,country??,2012,32.7200508118,-116.26385498,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2022-10-10,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
9.1,0.86,8.010,271.4,,,,,,
8.8,0.86,8.380,266.9,,,,,,
8.5,0.86,8.310,262.5,,,,,,
8.8,0.86,9.260,261.2,,,,,,
9.2,0.86,9.190,260.6,,,,,,
8.8,0.86,8.250,250.7,,,,,,
8.3,0.86,8.290,236.0,,,,,,
7.4,0.86,6.930,217.2,,,,,,
6.7,0.86,7.140,208.9,,,,,,
5.6,0.86,6.670,219.9,,,,,,
4.4,0.86,6.990,227.9,,,,,,
4.0,0.86,8.770,228.9,,,,,,
5.9,0.86,13.160,243.5,,,,,,
5.8,0.86,17.620,246.4,,,,,,
6.2,0.86,21.620,247.8,,,,,,
6.1,0.86,21.990,248.4,,,,,,
5.6,0.86,20.680,248.5,,,,,,
4.8,0.86,19.360,246.8,,,,,,
4.2,0.86,17.170,245.6,,,,,,
4.6,0.86,17.580,241.3,,,,,,
4.8,0.86,15.860,234.6,,,,,,
5.6,0.86,15.300,236.5,,,,,,
6.5,0.86,20.760,258.5,,,,,,
5.8,0.86,17.880,268.2,,,,,,
5.4,0.86,16.540,278.4,,,,,,
5.7,0.86,15.700,280.8,,,,,,
5.3,0.86,12.240,284.9,,,,,,
5.2,0.86,9.850,283.6,,,,,,
6.7,0.86,6.320,299.1,,,,,,
5.8,0.86,5.690,290.9,,,,,,
5.6,0.86,6.440,329.6,,,,,,
6.4,0.86,6.260,19.3,,,,,,
6.5,0.86,5.930,24.1,,,,,,
7.4,0.86,8.570,21.4,,,,,,
7.0,0.86,8.640,29.8,,,,,,
6.7,0.86,9.210,33.3,,,,,,
6.8,0.86,8.480,37.2,,,,,,
6.4,0.86,5.710,42.5,,,,,,
6.3,0.86,7.110,45.3,,,,,,
7.0,0.87,9.330,38.4,,,,,,
7.1,0.87,8.510,39.0,,,,,,
7.5,0.87,9.090,42.0,,,,,,
8.6,0.87,11.930,44.5,,,,,,
9.3,0.87,11.010,43.7,,,,,,
9.1,0.87,10.840,50.6,,,,,,
8.9,0.87,12.290,52.4,,,,,,
8.9,0.87,10.640,62.6,,,,,,
9.0,0.87,8.910,55.5,,,,,,
8.8,0.87,10.990,43.0,,,,,,
8.5,0.87,14.030,37.1,,,,,,
8.5,0.87,13.980,41.3,,,,,,
8.6,0.87,15.000,44.3,,,,,,
9.0,0.87,15.520,40.9,,,,,,
9.3,0.87,14.160,35.9,,,,,,
9.4,0.87,13.040,32.6,,,,,,
9.9,0.87,13.400,34.2,,,,,,
10.1,0.87,13.540,36.3,,,,,,
10.1,0.87,13.920,36.3,,,,,,
10.1,0.87,15.030,37.4,,,,,,
9.8,0.87,14.270,37.3,,,,,,
9.9,0.87,13.950,34.3,,,,,,
10.0,0.87,14.780,35.8,,,,,,
10.2,0.87,14.980,36.9,,,,,,
10.5,0.87,14.420,40.2,,,,,,
11.0,0.87,14.470,39.1,,,,,,
11.3,0.87,14.820,38.7,,,,,,
11.5,0.87,13.900,40.5,,,,,,
11.6,0.87,12.350,46.4,,,,,,
12.1,0.87,12.810,38.1,,,,,,
12.4,0.87,12.870,36.1,,,,,,
12.5,0.87,12.280,37.6,,,,,,
12.8,0.87,12.590,36.3,,,,,,
13.0,0.87,12.440,34.3,,,,,,
13.1,0.87,12.400,36.0,,,,,,
13.5,0.87,12.500,33.0,,,,,,
13.9,0.87,11.700,32.3,,,,,,
14.1,0.87,10.790,30.2,,,,,,
14.3,0.87,10.640,31.1,,,,,,
14.3,0.87,9.620,34.0,,,,,,
14.3,0.87,8.800,40.1,,,,,,
14.4,0.87,8.380,40.1,,,,,,
14.5,0.87,8.340,45.5,,,,,,
14.5,0.87,7.580,45.5,,,,,,
14.8,0.87,7.430,45.3,,,,,,
