Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
t225,0.0,0.0,0.0,0.0,1526.3390381005224,0.0,2718.1752212209126,0.0,0.0,0.0
t226,0.0,0.0,0.0,0.0,1525.603169420232,0.0,2718.1752212209126,0.0,0.0,0.0
t227,0.0,0.0,0.0,0.0,1524.7406462513327,0.0,2718.1752212209126,0.0,0.0,0.0
t228,0.0,0.0,0.0,0.0,1523.7479431137554,0.0,2718.1752212209126,0.0,0.0,0.0
t229,0.0,0.0,0.0,0.0,1522.6686865575,0.0,2718.1752212209126,0.0,0.0,0.0
t230,0.0,0.0,0.0,0.0,1525.3457281275446,0.0,2713.661240097961,0.0,0.0,0.0
t231,0.0,0.0,0.0,0.0,1523.502867517589,0.0,2713.661240097961,0.0,0.0,0.0
t232,0.0,0.0,0.0,0.0,1521.189850180818,0.0,2713.661240097961,0.0,0.0,0.0
t233,0.0,0.0,0.0,0.0,1522.6146784303467,0.0,2709.221472290152,0.0,0.0,0.0
t234,0.0,0.0,0.0,0.0,1519.5196044998754,0.0,2709.221472290152,0.0,0.0,0.0
t235,0.0,0.0,0.0,0.0,1520.904628389404,0.0,2703.803908663104,0.0,0.0,0.0
t236,0.0,0.0,0.0,0.0,1517.7697500989327,0.0,2702.9167581156034,0.0,0.0,0.0
t237,0.0,0.0,0.0,0.0,1514.4494750549327,0.0,2701.7547193862697,0.0,0.0,0.0
t238,0.0,0.0,0.0,0.0,1515.6092978249326,0.0,2695.238459812496,0.0,0.0,0.0
t239,0.0,0.0,0.0,0.0,1512.2492184149326,0.0,2693.184756883488,0.0,0.0,0.0
t240,0.0,0.0,0.0,0.0,1513.3692368249326,0.0,2685.8272875556922,0.0,0.0,0.0
t241,0.0,0.0,0.0,0.0,1509.9693530549325,0.0,2682.943391655271,0.0,0.0,0.0
t242,0.0,0.0,0.0,0.0,1506.5356664429326,0.0,2680.0628489500277,0.0,0.0,0.0
t243,0.0,0.0,0.0,0.0,1507.5681769829325,0.0,2672.3230945595274,0.0,0.0,0.0
t244,0.0,0.0,0.0,0.0,1504.0668846749325,0.0,2669.504821201161,0.0,0.0,0.0
t245,0.0,0.0,0.0,0.0,1505.0317895249325,0.0,2661.7846002444944,0.0,0.0,0.0
t246,0.0,0.0,0.0,0.0,1501.4628915269325,0.0,2658.972821896049,0.0,0.0,0.0
t247,0.0,0.0,0.0,0.0,1497.8601906869326,0.0,2656.189198579738,0.0,0.0,0.0
t248,0.0,0.0,0.0,0.0,1494.2236869989326,0.0,2653.4458027520077,0.0,0.0,0.0
t249,0.0,0.0,0.0,0.0,1490.5533804629326,0.0,2650.750298358586,0.0,0.0,0.0
t250,0.0,0.0,0.0,0.0,1491.3492710849325,0.0,2643.2511373016464,0.0,0.0,0.0
t251,0.0,0.0,0.0,0.0,1487.6113588589326,0.0,2640.7318781898844,0.0,0.0,0.0
t252,0.0,0.0,0.0,0.0,1483.8396437849326,0.0,2638.3318721211263,0.0,0.0,0.0
t253,0.0,0.0,0.0,0.0,1480.0341258689325,0.0,2636.040796372106,0.0,0.0,0.0
t254,0.0,0.0,0.0,0.0,1476.1970598809326,0.0,2633.975819474305,0.0,0.0,0.0
t255,0.0,0.0,0.0,0.0,1476.8284458209325,0.0,2627.204658943587,0.0,0.0,0.0
t256,0.0,0.0,0.0,0.0,1472.9282836889324,0.0,2625.492679866985,0.0,0.0,0.0
t257,0.0,0.0,0.0,0.0,1468.9965734849325,0.0,2624.0207690161615,0.0,0.0,0.0
t258,0.0,0.0,0.0,0.0,1469.5333152089324,0.0,2617.9560589780735,0.0,0.0,0.0
t259,0.0,0.0,0.0,0.0,1465.5385088669325,0.0,2617.0332593070693,0.0,0.0,0.0
