Constraint,CapRes_1
t665,1.2577660928727776e-12
t666,3.449710946936665e-13
t667,1.484901417338709e-13
t668,9.737570484580876e-14
t669,7.47073138136425e-14
t670,6.14730790021615e-14
t671,5.185723986686857e-14
t672,4.538926351845101e-14
t673,4.0465818691954536e-14
t674,3.789684703231995e-14
t675,3.556096331241694e-14
t676,3.288653120065598e-14
t677,3.084496695862364e-14
t678,2.925150497975104e-14
t679,2.770007106325571e-14
t680,2.6747564142182244e-14
t681,2.5359737122942582e-14
t682,2.4638068715662367e-14
t683,2.3871966968499483e-14
t684,2.3122003410965655e-14
t685,2.2352714711904313e-14
t686,2.1780399365038556e-14
t687,2.1436801875053662e-14
t688,2.1048999596813784e-14
t689,2.059222097734077e-14
t690,2.0357659870456016e-14
t691,1.9939166530573475e-14
t692,1.9833954226953106e-14
t693,1.9523678802615278e-14
t694,1.9647413311721162e-14
t695,1.958504287988385e-14
t696,1.9190517087435995e-14
t697,1.9007948885553113e-14
t698,1.936975597442445e-14
t699,1.9340038403335823e-14
t700,1.9325040720399345e-14
t701,1.9041191308276827e-14
t702,1.9236523497884893e-14
t703,1.927408568697953e-14
t704,1.9286130529049262e-14
t705,1.920364022517518e-14
t706,1.925241812748776e-14
t707,1.9289098321450195e-14
t708,1.9317063739721423e-14
t709,1.939584822064568e-14
t710,1.948085664558628e-14
t711,1.9527477247961733e-14
t712,1.9651975143879348e-14
t713,1.9832521541531434e-14
t714,1.9945955314290587e-14
t715,2.0105395778243416e-14
t716,2.005457543648977e-14
t717,1.986431856527585e-14
t718,2.0091952313335064e-14
t719,2.0097794682507644e-14
t720,2.0113670265891542e-14
t721,2.0156659876028462e-14
t722,1.9900613607491726e-14
t723,1.9683212294165254e-14
t724,1.946094293627955e-14
t725,1.929867979219699e-14
t726,1.902201750938604e-14
t727,1.8822477163917752e-14
t728,1.871379164549808e-14
t729,1.8660095314951402e-14
t730,1.8522850890685573e-14
t731,1.8411268393952213e-14
t732,1.8314355724118433e-14
t733,1.828832602225984e-14
t734,1.817667181906234e-14
t735,1.8099613677006948e-14
t736,1.8004121845126405e-14
t737,1.7731893943406302e-14
t738,1.789283651906886e-14
t739,1.7859815373020832e-14
t740,1.798195398984703e-14
t741,1.8136513330416724e-14
t742,1.8252136872396515e-14
t743,1.8371781124007836e-14
t744,1.849485459129399e-14
t745,1.8526287909624946e-14
t746,1.8715362204947644e-14
t747,1.8792415749971178e-14
t748,1.8890617052815713e-14
t749,1.8880392390880458e-14
t750,1.911396577204423e-14
t751,1.9231812423270396e-14
t752,1.9569764390664933e-14
t753,1.9752984010156102e-14
t754,2.0216728073581156e-14
t755,2.059501034316856e-14
t756,2.1017375062401937e-14
t757,2.1274815060668854e-14
t758,2.1813266070058617e-14
t759,2.220682528298831e-14
t760,2.2611554090803256e-14
t761,2.2982060170748664e-14
t762,2.357462160172293e-14
t763,2.4052001861714373e-14
t764,2.6116143509857698e-14
t765,2.8458372772834226e-14
t766,3.154967173157434e-14
t767,3.5017632996865933e-14
