Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro
t171,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t172,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t173,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t174,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t175,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t176,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t177,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t178,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t179,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t180,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t181,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t182,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t183,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t184,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t185,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t186,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t187,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
