Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
t28,0.0,-0.0,0.0,38.08456089,0.0,38.08456089
t29,0.0,-0.0,-0.0,38.07919157,-0.0,38.07919157
t30,0.0,-0.0,-0.0,38.10863531,0.0,38.10863531
t31,0.0,-0.0,-0.0,38.03408049,-0.0,38.03408049
t32,0.0,-0.0,0.0,37.92896026,0.0,37.92896026
t33,0.0,-0.0,-0.0,37.88421209,0.0,37.88421209
t34,0.0,-0.0,-0.0,37.88881918,0.0,37.88881918
t35,0.0,-0.0,-0.0,37.81710607,-0.0,37.81710607
t36,0.0,-0.0,-0.0,37.78990082,0.0,37.78990082
t37,0.0,-0.0,0.0,37.87154157,0.0,37.87154157
t38,0.0,-0.0,-0.0,37.86636737,-0.0,37.86636737
t39,0.0,-0.0,0.0,37.84224428,-0.0,37.84224428
t40,0.0,-0.0,0.0,37.89303544,0.0,37.89303544
t41,0.0,-0.0,-0.0,37.83949189,-0.0,37.83949189
t42,0.0,-0.0,-0.0,37.84191368,-0.0,37.84191368
t43,0.0,-0.0,0.0,37.91572434,-0.0,37.91572434
t44,0.0,-0.0,-0.0,37.95163639,0.0,37.95163639
t45,0.0,-0.0,0.0,37.96992157,0.0,37.96992157
t46,0.0,-0.0,-0.0,38.00715563,0.0,38.00715563
t47,0.0,-0.0,-0.0,37.97900085,0.0,37.97900085
t48,0.0,-0.0,-0.0,38.06013272,0.0,38.06013272
t49,0.0,-0.0,-0.0,38.14831535,0.0,38.14831535
t50,0.0,-0.0,-0.0,38.24910714,0.0,38.24910714
t51,0.0,-0.0,-0.0,38.34549223,0.0,38.34549223
t52,0.0,-0.0,0.0,38.43174185,0.0,38.43174185
t53,0.0,-0.0,0.0,38.52048391,0.0,38.52048391
t54,0.0,-0.0,0.0,38.64051369,-0.0,38.64051369
t55,0.0,-0.0,0.0,38.76142483,0.0,38.76142483
t56,0.0,-0.0,-0.0,38.9037253,0.0,38.9037253
t57,0.0,-0.0,-0.0,39.03985638,0.0,39.03985638
t58,0.0,-0.0,-0.0,39.21080055,0.0,39.21080055
