Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
t201,0.0,0.0,0.0,0.0,1547.4487734130023,0.0,1096.6176802988793,0.0,0.0,0.0
t202,0.0,0.0,0.0,0.0,1549.6615540450023,0.0,1096.6176802988793,0.0,0.0,0.0
t203,0.0,0.0,0.0,0.0,1551.9369347410022,0.0,1096.6176802988793,0.0,0.0,0.0
t204,0.0,0.0,0.0,0.0,1554.2749155010022,0.0,1096.6176802988793,0.0,0.0,0.0
t205,0.0,0.0,0.0,0.0,1554.8554803315203,0.0,1096.6176802988793,0.0,0.0,0.0
t206,0.0,0.0,0.0,0.0,1552.384279290404,0.0,1096.6176802988793,0.0,0.0,0.0
t207,0.0,0.0,0.0,0.0,1548.811922394404,0.0,1094.4773339450078,0.0,0.0,0.0
t208,0.0,0.0,0.0,0.0,1545.253096632404,0.0,1088.9256300256845,0.0,0.0,0.0
t209,0.0,0.0,0.0,0.0,1541.7078020044041,0.0,1080.053320871976,0.0,0.0,0.0
t210,0.0,0.0,0.0,0.0,1538.1760385104042,0.0,1068.0266159895223,0.0,0.0,0.0
t211,0.0,0.0,0.0,0.0,1534.6578061504042,0.0,1052.7818099321746,0.0,0.0,0.0
t212,0.0,0.0,0.0,0.0,1531.1531049244043,0.0,1035.469552090974,0.0,0.0,0.0
t213,0.0,0.0,0.0,0.0,1527.6619348384042,0.0,1016.3355650202686,0.0,0.0,0.0
t214,0.0,0.0,0.0,0.0,1524.1842958864042,0.0,995.2941092635365,0.0,0.0,0.0
t215,0.0,0.0,0.0,0.0,1520.7201880684042,0.0,972.284664907734,0.0,0.0,0.0
t216,0.0,0.0,0.0,0.0,1517.2696113904042,0.0,947.4317697354702,0.0,0.0,0.0
t217,0.0,0.0,0.0,0.0,1513.8325658464041,0.0,920.6003481815274,0.0,0.0,0.0
t218,0.0,0.0,0.0,0.0,1510.3825321924041,0.0,894.1059814223058,0.0,0.0,0.0
t219,0.0,0.0,0.0,0.0,1506.9195104344042,0.0,868.0502155716447,0.0,0.0,0.0
t220,0.0,0.0,0.0,0.0,1503.4435005664043,0.0,842.2467230809222,0.0,0.0,0.0
t221,0.0,0.0,0.0,0.0,1499.9545025944042,0.0,816.6965738900643,0.0,0.0,0.0
t222,0.0,0.0,0.0,0.0,1496.4525165124041,0.0,791.3868353091451,0.0,0.0,0.0
t223,0.0,0.0,0.0,0.0,1492.9375423264041,0.0,766.2729611642516,0.0,0.0,0.0
