Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
t295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t299,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t301,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t302,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t303,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t304,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t305,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t306,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t308,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t309,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t310,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t311,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t312,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t313,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t314,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t315,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t316,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t317,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t318,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t319,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t320,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t321,0.0,0.0,0.0,0.0,0.08386859510744671,0.0,0.0,0.08386859510744671
t322,0.0,0.0,0.0,0.0,2.4040448772628906,0.0,0.0,2.4040448772628906
t323,0.0,0.0,0.0,0.0,4.724738417918317,0.0,0.0,4.724738417918317
t324,0.0,0.0,0.0,0.0,6.954697570573778,0.0,0.0,6.954697570573778
t325,0.0,0.0,0.0,0.0,9.395518275229193,0.0,0.0,9.395518275229193
t326,0.0,0.0,0.0,0.0,8.468812107175047,0.0,0.0,8.468812107175047
t327,0.0,0.0,0.0,0.0,7.547856864087251,0.0,0.0,7.547856864087251
t328,0.0,0.0,0.0,0.0,6.6026204355330975,0.0,0.0,6.6026204355330975
t329,0.0,0.0,0.0,0.0,5.739963319478939,0.0,-0.0,5.739963319478939
t330,0.0,0.0,0.0,0.0,4.7642078928911715,0.0,0.0,4.7642078928911715
t331,0.0,0.0,0.0,0.0,3.9028287053370008,0.0,-0.0,3.9028287053370008
t332,0.0,0.0,0.0,0.0,2.9979980927828365,0.0,0.0,2.9979980927828365
t333,0.0,0.0,0.0,0.0,2.143646642195044,0.0,-0.0,2.143646642195044
t334,0.0,0.0,0.0,0.0,1.2739596071409025,0.0,0.0,1.2739596071409025
t335,0.0,0.0,0.0,0.0,0.4065828570867396,0.0,-0.0,0.4065828570867396
t336,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t337,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
