Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
t383,0.0,0.0,-0.0,0.0,0.0
t384,0.0,0.0,-0.0,-0.0,-0.0
t385,0.0,0.0,-0.0,-0.0,0.0
t386,0.0,0.0,-0.0,0.0,-0.0
t387,0.0,0.0,-0.0,-0.0,-0.0
t388,0.0,0.0,-0.0,0.0,0.0
t389,0.0,0.0,-0.0,-0.0,-0.0
t390,0.0,0.0,-0.0,0.0,0.0
t391,0.0,0.0,-0.0,-0.0,-0.0
t392,0.0,0.0,-0.0,-0.0,0.0
t393,0.0,0.0,-0.0,0.0,-0.0
t394,0.0,0.0,-0.0,-0.0,-0.0
t395,0.0,0.0,-0.0,0.0,0.0
t396,0.0,0.0,-0.0,-0.0,-0.0
t397,0.0,0.0,-0.0,-0.0,0.0
t398,0.0,0.0,-0.0,-0.0,-0.0
t399,0.0,0.0,-0.0,-0.0,-0.0
t400,0.0,0.0,-0.0,0.0,-0.0
t401,0.0,0.0,-0.0,-0.0,-0.0
t402,0.0,0.0,-0.0,0.0,-0.0
t403,0.0,0.0,-0.0,-0.0,-0.0
t404,0.0,0.0,-0.0,-0.0,-0.0
t405,0.0,0.0,-0.0,-0.0,-0.0
t406,0.0,0.0,-0.0,-0.0,-0.0
t407,0.0,0.0,-0.0,0.0,-0.0
t408,0.0,0.0,-0.0,-0.0,-0.0
t409,0.0,0.0,-0.0,-0.0,0.0
t410,0.0,0.0,-0.0,-0.0,-0.0
t411,0.0,0.0,-0.0,0.0,0.0
t412,0.0,0.0,-0.0,-0.0,-0.0
t413,0.0,0.0,-0.0,-0.0,-0.0
t414,0.0,0.0,-0.0,-0.0,-0.0
t415,0.0,0.0,-0.0,-0.0,-0.0
t416,0.0,0.0,-0.0,0.0,-0.0
t417,0.0,0.0,-0.0,-0.0,-0.0
t418,0.0,0.0,-0.0,-0.0,-0.0
t419,0.0,0.0,-0.0,-0.0,-0.0
t420,0.0,0.0,-0.0,-0.0,-0.0
t421,0.0,0.0,-0.0,-0.0,-0.0
t422,0.0,0.0,-0.0,-0.0,-0.0
t423,0.0,0.0,-0.0,-0.0,0.0
t424,0.0,0.0,-0.0,-0.0,-0.0
t425,0.0,0.0,-0.0,0.0,-0.0
t426,0.0,0.0,-0.0,-0.0,-0.0
t427,0.0,0.0,-0.0,-0.0,0.0
t428,0.0,0.0,-0.0,-0.0,-0.0
t429,0.0,0.0,-0.0,-0.0,-0.0
t430,0.0,0.0,-0.0,-0.0,-0.0
t431,0.0,0.0,-0.0,-0.0,-0.0
t432,0.0,0.0,-0.0,-0.0,-0.0
t433,0.0,0.0,-0.0,-0.0,-0.0
t434,0.0,0.0,-0.0,-0.0,-0.0
t435,0.0,0.0,-0.0,-0.0,-0.0
t436,0.0,0.0,-0.0,-0.0,-0.0
t437,0.0,0.0,-0.0,0.0,-0.0
t438,0.0,0.0,-0.0,-0.0,-0.0
t439,0.0,0.0,-0.0,-0.0,-0.0
t440,0.0,0.0,-0.0,-0.0,-0.0
t441,0.0,0.0,-0.0,-0.0,-0.0
t442,0.0,0.0,-0.0,0.0,-0.0
t443,0.0,0.0,-0.0,-0.0,-0.0
t444,0.0,0.0,-0.0,-0.0,-0.0
t445,0.0,0.0,-0.0,228.70927908026368,-0.0
t446,0.0,0.0,-0.0,317.19612736709524,-0.0
t447,0.0,0.0,-0.0,547.6346478768568,-0.0
t448,0.0,0.0,-0.0,778.9627222973672,-0.0
t449,0.0,0.0,-0.0,1011.2351484782266,-0.0
t450,0.0,0.0,-0.0,1244.4284121486348,-0.0
t451,0.0,0.0,-0.0,1478.524269496992,-0.0
t452,0.0,0.0,-0.0,1713.309241252019,-0.0
t453,0.0,0.0,-0.0,1948.7999499302234,-0.0
t454,0.0,0.0,-0.0,2185.0284232038975,-0.0
t455,0.0,0.0,-0.0,2421.9439910978417,-0.0
t456,0.0,0.0,-0.0,2659.654089797763,-0.0
t457,0.0,0.0,-0.0,2898.082500327954,-0.0
t458,0.0,0.0,-0.0,3136.354140451368,-0.0
t459,0.0,0.0,-0.0,3374.4698210192046,-0.0
t460,0.0,0.0,-0.0,3612.4526508674635,-0.0
t461,0.0,0.0,-0.0,3850.273217559345,-0.0
t462,0.0,0.0,-0.0,4087.9303048548495,-0.0
t463,0.0,0.0,-0.0,4325.346072446377,-0.0
t464,0.0,0.0,-0.0,4560.439274805112,-0.0
t465,0.0,0.0,-0.0,4793.154369987964,-0.0
t466,0.0,0.0,-0.0,5023.567981682824,-0.0
t467,0.0,0.0,-0.0,5251.612451130092,-0.0
t468,0.0,0.0,-0.0,5477.220479274277,-0.0
t469,0.0,0.0,-0.0,5700.44233759007,-0.0
t470,0.0,0.0,-0.0,5918.892493996781,-0.0
t471,0.0,0.0,-0.0,6132.59608443081,-0.0
t472,0.0,0.0,-0.0,6341.603786524265,-0.0
t473,0.0,0.0,-0.0,6545.931786957039,-0.0
t474,0.0,0.0,-0.0,6745.58211282033,-0.0
t475,0.0,0.0,-0.0,6940.4894917701395,-0.0
t476,0.0,0.0,-0.0,7120.627290933733,-0.0
t477,0.0,0.0,-0.0,7285.962671426311,-0.0
t478,0.0,0.0,-0.0,7436.410901213581,-0.0
t479,0.0,0.0,-0.0,7572.032584336235,-0.0
t480,0.0,0.0,-0.0,7692.844342921873,-0.0
t481,0.0,0.0,-0.0,7798.654819574096,-0.0
t482,0.0,0.0,-0.0,7884.83109597503,-0.0
t483,0.0,0.0,-0.0,7951.368712544273,-0.0
t484,0.0,0.0,-0.0,7998.196315636626,-0.0
t485,0.0,0.0,-0.0,8025.161118126383,-0.0
t486,0.0,0.0,-0.0,8032.2420386208505,-0.0
t487,0.0,0.0,-0.0,8017.119019282923,-0.0
t488,0.0,0.0,-0.0,7994.84674874868,-0.0
